




Analysis Type:	PANTHER Overrepresentation Test (Released 20171205)
Annotation Version and Release Date:	GO Ontology database  Released 2018-02-02
Analyzed List:	upload_1 (Mus musculus)
Reference List:	Mus musculus (all genes in database)
Test Type:	FISHER
GO biological process complete	Mus musculus - REFLIST (22262)	upload_1 (171)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
endonucleolytic cleavage to generate mature 3'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000461)	2	2	.02	+	 > 100	3.43E-04	2.57E-02
positive regulation of protein localization to early endosome (GO:1902966)	6	3	.05	+	65.09	3.53E-05	4.15E-03
regulation of protein localization to early endosome (GO:1902965)	6	3	.05	+	65.09	3.53E-05	4.12E-03
positive regulation of early endosome to late endosome transport (GO:2000643)	8	3	.06	+	48.82	6.87E-05	7.13E-03
positive regulation of protein localization to endosome (GO:1905668)	9	3	.07	+	43.40	9.10E-05	9.21E-03
regulation of protein localization to endosome (GO:1905666)	9	3	.07	+	43.40	9.10E-05	9.15E-03
positive regulation of RNA polymerase II transcriptional preinitiation complex assembly (GO:0045899)	13	4	.10	+	40.06	7.18E-06	1.08E-03
aldehyde biosynthetic process (GO:0046184)	10	3	.08	+	39.06	1.18E-04	1.11E-02
methionine metabolic process (GO:0006555)	17	5	.13	+	38.29	5.75E-07	1.34E-04
proteasome assembly (GO:0043248)	14	4	.11	+	37.20	9.18E-06	1.34E-03
chaperone-mediated protein complex assembly (GO:0051131)	11	3	.08	+	35.51	1.49E-04	1.34E-02
cellular response to interferon-alpha (GO:0035457)	11	3	.08	+	35.51	1.49E-04	1.33E-02
positive regulation of cytoplasmic transport (GO:1903651)	11	3	.08	+	35.51	1.49E-04	1.32E-02
regulation of RNA polymerase II transcriptional preinitiation complex assembly (GO:0045898)	15	4	.12	+	34.72	1.16E-05	1.61E-03
S-adenosylmethionine metabolic process (GO:0046500)	13	3	.10	+	30.04	2.27E-04	1.84E-02
regulation of interferon-gamma-mediated signaling pathway (GO:0060334)	14	3	.11	+	27.90	2.74E-04	2.12E-02
regulation of response to interferon-gamma (GO:0060330)	14	3	.11	+	27.90	2.74E-04	2.11E-02
oxaloacetate metabolic process (GO:0006107)	14	3	.11	+	27.90	2.74E-04	2.10E-02
positive regulation of transcription initiation from RNA polymerase II promoter (GO:0060261)	20	4	.15	+	26.04	3.07E-05	3.75E-03
gluconeogenesis (GO:0006094)	25	5	.19	+	26.04	2.96E-06	5.63E-04
sulfur amino acid biosynthetic process (GO:0000097)	15	3	.12	+	26.04	3.26E-04	2.46E-02
NADH metabolic process (GO:0006734)	21	4	.16	+	24.80	3.64E-05	4.17E-03
response to interferon-alpha (GO:0035455)	21	4	.16	+	24.80	3.64E-05	4.14E-03
hexose biosynthetic process (GO:0019319)	28	5	.22	+	23.25	4.85E-06	8.10E-04
hexose catabolic process (GO:0019320)	17	3	.13	+	22.97	4.51E-04	3.24E-02
regulation of early endosome to late endosome transport (GO:2000641)	17	3	.13	+	22.97	4.51E-04	3.22E-02
rRNA-containing ribonucleoprotein complex export from nucleus (GO:0071428)	17	3	.13	+	22.97	4.51E-04	3.21E-02
monosaccharide biosynthetic process (GO:0046364)	34	6	.26	+	22.97	5.56E-07	1.32E-04
regulation of transcription initiation from RNA polymerase II promoter (GO:0060260)	25	4	.19	+	20.83	6.67E-05	7.02E-03
ribosomal small subunit assembly (GO:0000028)	19	3	.15	+	20.56	6.02E-04	4.12E-02
sulfur amino acid metabolic process (GO:0000096)	32	5	.25	+	20.34	8.68E-06	1.28E-03
cellular response to interferon-beta (GO:0035458)	39	6	.30	+	20.03	1.14E-06	2.51E-04
pyruvate metabolic process (GO:0006090)	59	9	.45	+	19.86	2.36E-09	1.13E-06
response to interferon-beta (GO:0035456)	46	7	.35	+	19.81	1.52E-07	4.02E-05
positive regulation of DNA-templated transcription, initiation (GO:2000144)	28	4	.22	+	18.60	9.92E-05	9.65E-03
glycolytic process (GO:0006096)	35	5	.27	+	18.60	1.29E-05	1.75E-03
ADP metabolic process (GO:0046031)	43	6	.33	+	18.17	1.91E-06	3.98E-04
cytoplasmic translation (GO:0002181)	43	6	.33	+	18.17	1.91E-06	3.92E-04
ATP generation from ADP (GO:0006757)	36	5	.28	+	18.08	1.46E-05	1.96E-03
NAD metabolic process (GO:0019674)	36	5	.28	+	18.08	1.46E-05	1.95E-03
defense response to protozoan (GO:0042832)	32	4	.25	+	16.27	1.59E-04	1.39E-02
purine ribonucleoside diphosphate metabolic process (GO:0009179)	48	6	.37	+	16.27	3.43E-06	6.27E-04
purine nucleoside diphosphate metabolic process (GO:0009135)	48	6	.37	+	16.27	3.43E-06	6.20E-04
aspartate family amino acid metabolic process (GO:0009066)	42	5	.32	+	15.50	2.87E-05	3.59E-03
one-carbon metabolic process (GO:0006730)	34	4	.26	+	15.32	1.97E-04	1.66E-02
nucleoside diphosphate phosphorylation (GO:0006165)	51	6	.39	+	15.32	4.73E-06	7.98E-04
purine-containing compound catabolic process (GO:0072523)	43	5	.33	+	15.14	3.19E-05	3.83E-03
ribonucleoside diphosphate metabolic process (GO:0009185)	52	6	.40	+	15.02	5.24E-06	8.56E-04
regulation of DNA-templated transcription, initiation (GO:2000142)	35	4	.27	+	14.88	2.18E-04	1.81E-02
nucleotide phosphorylation (GO:0046939)	53	6	.41	+	14.74	5.79E-06	9.28E-04
response to protozoan (GO:0001562)	36	4	.28	+	14.47	2.40E-04	1.92E-02
cellular aldehyde metabolic process (GO:0006081)	55	6	.42	+	14.20	7.05E-06	1.09E-03
pyridine-containing compound metabolic process (GO:0072524)	104	11	.80	+	13.77	1.31E-09	6.95E-07
nicotinamide nucleotide metabolic process (GO:0046496)	96	10	.74	+	13.56	8.63E-09	3.23E-06
nucleoside diphosphate metabolic process (GO:0009132)	69	7	.53	+	13.21	1.86E-06	3.91E-04
pyridine nucleotide metabolic process (GO:0019362)	99	10	.76	+	13.15	1.13E-08	3.78E-06
carbohydrate catabolic process (GO:0016052)	70	7	.54	+	13.02	2.03E-06	4.05E-04
oxidoreduction coenzyme metabolic process (GO:0006733)	115	11	.88	+	12.45	3.48E-09	1.57E-06
dicarboxylic acid metabolic process (GO:0043648)	84	8	.65	+	12.40	5.22E-07	1.27E-04
ribosomal small subunit biogenesis (GO:0042274)	72	6	.55	+	10.85	2.93E-05	3.63E-03
endothelial cell development (GO:0001885)	48	4	.37	+	10.85	6.63E-04	4.47E-02
ubiquitin-dependent ERAD pathway (GO:0030433)	61	5	.47	+	10.67	1.49E-04	1.32E-02
sulfur compound biosynthetic process (GO:0044272)	63	5	.48	+	10.33	1.72E-04	1.49E-02
coenzyme metabolic process (GO:0006732)	254	20	1.95	+	10.25	3.10E-14	7.95E-11
modification by host of symbiont morphology or physiology (GO:0051851)	64	5	.49	+	10.17	1.84E-04	1.58E-02
interaction with symbiont (GO:0051702)	69	5	.53	+	9.43	2.56E-04	2.02E-02
ERAD pathway (GO:0036503)	83	6	.64	+	9.41	6.19E-05	6.70E-03
translation (GO:0006412)	303	21	2.33	+	9.02	7.09E-14	1.21E-10
glucose metabolic process (GO:0006006)	90	6	.69	+	8.68	9.45E-05	9.37E-03
coenzyme biosynthetic process (GO:0009108)	90	6	.69	+	8.68	9.45E-05	9.31E-03
carbohydrate biosynthetic process (GO:0016051)	91	6	.70	+	8.58	1.00E-04	9.68E-03
peptide biosynthetic process (GO:0043043)	322	21	2.47	+	8.49	2.15E-13	3.01E-10
cellular response to interferon-gamma (GO:0071346)	94	6	.72	+	8.31	1.18E-04	1.11E-02
response to interferon-gamma (GO:0034341)	115	7	.88	+	7.92	4.24E-05	4.76E-03
modification of morphology or physiology of other organism involved in symbiotic interaction (GO:0051817)	83	5	.64	+	7.84	5.71E-04	3.93E-02
modification of morphology or physiology of other organism (GO:0035821)	101	6	.78	+	7.73	1.72E-04	1.48E-02
amide biosynthetic process (GO:0043604)	388	23	2.98	+	7.72	9.50E-14	1.46E-10
hexose metabolic process (GO:0019318)	121	7	.93	+	7.53	5.76E-05	6.28E-03
cofactor metabolic process (GO:0051186)	394	22	3.03	+	7.27	1.06E-12	1.25E-09
monosaccharide metabolic process (GO:0005996)	151	8	1.16	+	6.90	3.09E-05	3.74E-03
purine nucleoside triphosphate metabolic process (GO:0009144)	192	10	1.47	+	6.78	3.60E-06	6.43E-04
defense response to virus (GO:0051607)	156	8	1.20	+	6.68	3.85E-05	4.35E-03
peptide metabolic process (GO:0006518)	432	22	3.32	+	6.63	5.93E-12	5.70E-09
purine-containing compound metabolic process (GO:0072521)	335	17	2.57	+	6.61	1.82E-09	9.04E-07
